CardName,CardType,Description
Core Transport Unit," Spell Card  Continuous","Once per turn, you can discard 1 card to add 1 ""Iron Core of Koa'ki Meiru"" from your Deck to your hand."
Cyber Dragon Zwei," Effect Monster  Machine  1500  1000","If this card attacks an opponent's monster, it gains 300 ATK during the Damage Step only. Once per turn: You can reveal 1 Spell in your hand; this card's name becomes ""Cyber Dragon"" until the End Phase. This card's name becomes ""Cyber Dragon"" while in the GY."
Dark Bug," Effect Monster  Insect  100  100","When this card is Normal Summoned, select and Special Summon 1 Level 3 Tuner monster from your Graveyard. The effect(s) of that monster is negated."
Destruct Potion," Trap Card  Normal","Select 1 monster you control. Destroy it, and gain Life Points equal to its ATK."
Djinn Cursenchanter of Rituals," Effect Monster  Fiend  1700  1000","When you Ritual Summon a monster, you can banish this card from your Graveyard as 1 of the monsters required for the Ritual Summon. While the monster Ritual Summoned using this card is face-up on the field, Synchro Monsters' effects are negated."
Djinn Disserere of Rituals," Effect Monster  Fiend  200  200","When you Ritual Summon a monster, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is unaffected by Trap effects."
Djinn Prognosticator of Rituals," Effect Monster  Fiend  400  300","When you Ritual Summon a monster, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. If you Ritual Summon using this card, if that Ritual Summoned monster inflicts battle damage to your opponent, they discard 1 card."
Dragon Queen of Tragic Endings," Effect Monster  Dragon  1900  2600","Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand) while you control 3 or more face-up Continuous Spell Cards. When this attacking card inflicts Battle Damage to your opponent: Your opponent sends 1 card from their hand to the Graveyard, then you draw 1 card. During your Standby Phase, if this card is in your Graveyard and was sent there from the field: You can send 1 face-up Continuous Spell Card you control to the Graveyard; Special Summon this card from the Graveyard."
Dragonic Guard," Effect Monster  Dragon  1500  1800","Each time a monster is Normal Summoned or Set, place 1 Dragonic Counter on this card. You can send this face-up card to the Graveyard to Special Summon 1 Dragon-Type monster from your Deck whose Level is less than or equal to the number of Dragonic Counters on this card."
Drill Synchron," Tuner Monster  Machine  800  300","If a Warrior-Type monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect: You can draw 1 card."
Drill Warrior," Synchro Monster  Warrior  2400  2000","""Drill Synchron"" + 1 or more non-Tuner monsters Once per turn, during your Main Phase 1: You can halve this card's ATK, and if you do, it can attack your opponent directly this turn. Once per turn: You can discard 1 card, and if you do, banish this card. During your next Standby Phase: Special Summon this card banished by this effect, then add 1 monster from your Graveyard to your hand."
Earthbound Linewalker," Effect Monster  Fiend  1200  1900","""Earthbound Immortal"" monsters cannot be destroyed by their own effects."
Evil Blast," Trap Card  Normal","Activate only when a monster is Special Summoned to your opponent's side of the field. Equip this card to that monster. It gains 500 ATK. During each of your opponent's Standby Phases, inflict 500 damage to your opponent."
Fiendish Chain," Trap Card  Continuous","Activate this card by targeting 1 Effect Monster on the field; negate the effects of that face-up monster while it is on the field, also that face-up monster cannot attack. When it is destroyed, destroy this card."
Fire Ant Ascator," Tuner Monster  Insect  700  1300","When this card is destroyed by battle and sent to the GY: You can target 1 Level 5 monster in your GY; Special Summon that target, but its effects are negated, also send it to the GY during the End Phase of this turn."
Forgotten Temple of the Deep," Trap Card  Continuous","While this card is on the field, this card's name becomes ""Umi"". Once per turn: You can target 1 Level 4 or lower Fish, Sea Serpent or Aqua-Type monster you control; banish that target. During your End Phase: Special Summon the monster(s) banished by this effect."
Gale Dogra," Effect Monster  Insect  650  600",You can pay 3000 Life Points to send 1 monster from your Extra Deck to the Graveyard.
"Garlandolf, King of Destruction"," Ritual Effect Monster  Fiend  2500  1400","This card can only be Ritual Summoned with the Ritual Spell Card, ""Ritual of Destruction"". When this card is Ritual Summoned, destroy all other face-up monsters on the field with DEF less than or equal to this card's ATK. This card gains 100 ATK for each monster destroyed by this effect."
Gravekeeper's Descendant," Effect Monster  Spellcaster  1500  1200","You can Tribute 1 other face-up ""Gravekeeper's"" monster to target 1 card your opponent controls; destroy that target."
Gravekeeper's Stele," Spell Card  Normal","Target 2 ""Gravekeeper's"" monsters in your GY; add those targets to your hand. This effect cannot be negated by the effect of ""Necrovalley""."
Gravekeeper's Visionary," Effect Monster  Spellcaster  2000  1800","You can Tribute Summon this card by Tributing 1 ""Gravekeeper's"" monster. This card gains 200 ATK for each ""Gravekeeper's"" monster in your Graveyard. If this face-up card would be destroyed, you can discard 1 ""Gravekeeper's"" monster instead."
Gundari," Spirit Monster  Pyro  1000  200","This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. If this card battles a Synchro Monster, return both monsters to their owners' hands at the start of the Damage Step (without damage calculation)."
Informer Spider," Effect Monster  Insect  500  1800","When this card is sent from the field to the Graveyard by a card effect, take control of 1 Defense Position monster your opponent controls."
Inverse Universe," Trap Card  Normal",Switch the ATK and DEF of all face-up Effect Monsters on the field.
Iron Core Specimen Lab," Spell Card  Field","During each of your End Phases, destroy this card unless you reveal 1 ""Iron Core of Koa'ki Meiru"" in your hand. Each time a ""Koa'ki Meiru"" monster on the field is destroyed during the End Phase, its owner can add 1 ""Koa'ki Meiru"" monster from their Deck to their hand."
Koa'ki Meiru Urnight," Effect Monster  Beast-Warrior  2000  1500","During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard or reveal 1 Beast-Warrior-Type monster in your hand. Once per turn, you can reveal 1 ""Iron Core of Koa'ki Meiru"" in your hand to Special Summon 1 Level 4 or lower ""Koa'ki Meiru"" monster from your Deck, except ""Koa'ki Meiru Urnight""."
Lair Wire," Trap Card  Normal",Remove from play 1 Insect-Type monster from your Graveyard and select 1 monster your opponent controls. Destroy the selected monster.
Machine Assembly Line," Spell Card  Continuous","All Machine-Type monsters on the field gain 200 ATK. Each time a face-up Machine-Type monster(s) on the field is destroyed by battle or card effect, place 2 Junk Counters on this card. You can send this card to the Graveyard, then target 1 Machine-Type monster in your Graveyard whose Level is less than or equal to the number of Junk Counters that were on this card; Special Summon that target."
Machine King - 3000 B.C.," Trap Card  Continuous","Special Summon this card as an Effect Monster (Machine-Type/EARTH/Level 4/ATK 1000/DEF 1000). (This card is also still a Trap Card.) You cannot Normal or Special Summon other monsters the turn you activate this card. Once per turn, during your Main Phase: You can Tribute 1 Machine-Type monster; this card gains ATK equal to the ATK the Tributed monster had on the field, until the end of this turn."
Magic Hole Golem," Effect Monster  Rock  2000","Once per turn, you can select 1 face-up monster you control. Its ATK is halved until the End Phase, and it can attack your opponent directly this turn. During the turn you activate this effect, only the selected monster can attack."
Majestic Red Dragon," Synchro Monster  Dragon  4000  3000","""Majestic Dragon"" + ""Red Dragon Archfiend"" + 1 non-Tuner monster Cannot be destroyed by card effects. After damage calculation, if this card attacks: Destroy all Defense Position monsters on the field. Once per turn: You can target 1 face-up monster your opponent controls; negate its effects, and if you do, this card gains ATK equal to that monster's ATK. These changes last until the end of this turn. During the End Phase: Target 1 ""Red Dragon Archfiend"" in your Graveyard; return this card from the field to the Extra Deck, then Special Summon that target."
Meteor Flare," Trap Card  Normal","Activate by sending 2 cards from your hand to the Graveyard while your opponent has more than 3000 Life Points. Inflict 2000 damage to your opponent. If this card is in the Graveyard, you can add it to your hand instead of conducting your normal draw during your Draw Phase."
Moon Dragon Quilla," Synchro Monster  Dragon  2500  2000","""Supay"" + 1+ non-Tuner monsters If this card is targeted for an attack: Gain LP equal to half the attacking monster's ATK. If this card on the field is destroyed: You can target 1 ""Sun Dragon Inti"" in your GY; Special Summon that target."
Nature's Reflection," Trap Card  Normal","During this turn, any effect activated by your opponent that would inflict damage becomes an effect that inflicts damage to their Life Points."
Offering to the Immortals," Trap Card  Normal","When your opponent's monster declares a direct attack while you have 3000 or less LP: Negate the attack, and if you do, Special Summon 2 ""Ceremonial Tokens"" (Rock-Type/EARTH/Level 1/ATK 0/DEF 0), and if you do that, add 1 ""Earthbound Immortal"" card, ""Earthbound Revival"", or ""Roar of the Earthbound"" from your Deck to your hand. ""Ceremonial Tokens"" cannot be Tributed, except for a Tribute Summon of an ""Earthbound Immortal"" monster, and cannot be used as Synchro Material."
Ogre of the Scarlet Sorrow," Effect Monster  Fiend","During your opponent's turn, when your opponent declares a second direct attack during the same Battle Phase, you can Special Summon this card from your hand. When you do, this card's ATK and DEF becomes equal to the ATK and DEF of the first monster that attacked directly this turn, if it is still face-up on the field. The turn this card is Special Summoned with this effect, your opponent cannot select monsters other than this card as an attack target while this card is face-up on the field."
Oilman," Union Effect Monster  Machine  400  400","Once per turn, you can either: Target 1 Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it in Attack Position. While equipped by this effect, if the equipped monster destroys an opponent's monster by battle: Draw 1 card. (A monster can only be equipped with 1 Union monster at a time. If the equipped monster would be destroyed, destroy this card instead.)"
Oracle of the Sun," Effect Monster  Spellcaster  1000  2000","If only your opponent controls a monster, you can Special Summon this card (from your hand). When this card on the field is destroyed and sent to the GY: You can add 1 ""Fire Ant Ascator"" or ""Supay"" from your Deck to your hand."
Pandaborg," Effect Monster  Psychic  1700  1400","When this card is destroyed by battle and sent to the Graveyard, you can pay 800 Life Points to Special Summon 1 Level 4 Psychic-Type monster from your Deck."
Pot of Benevolence," Spell Card  Normal","Select 2 cards from the Graveyard(s), and shuffle them into their owner's Deck(s). After activation, remove this card from play instead of sending it to the Graveyard. You can only activate 1 ""Pot of Benevolence"" per turn."
Power Invader," Effect Monster  Fiend  2200","If your opponent controls 2 or more monsters, you can Normal Summon this card without Tributing."
Power Pickaxe," Spell Card  Equip","Once per turn, you can select and remove from play 1 monster in your opponent's Graveyard whose Level is less than or equal to the equipped monster's, and have the equipped monster gain 500 ATK until the End Phase."
Power Supplier," Effect Monster  Spellcaster  400  400","Once per turn, you can select 1 face-up monster you control. It gains 400 ATK while you control this face-up card. (A monster cannot gain more than 400 ATK from this card's effect.)"
Psi-Curse," Trap Card  Normal","When a Psychic-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard: Target the opponent's monster; destroy that target, and if you do, inflict damage to your opponent equal to the Level of your destroyed Psychic-Type monster x 300."
Reptilianne Gardna," Effect Monster  Reptile  2000","When this card you control is destroyed and sent to the Graveyard, add 1 ""Reptilianne"" monster from your Deck to your hand."
Reptilianne Naga," Effect Monster  Reptile","This card cannot be destroyed by battle. The ATK of any monster that battles this card becomes 0 at the end of that Battle Phase. During your End Phase, change this face-up Defense Position card on the field to face-up Attack Position."
Reptilianne Rage," Spell Card  Equip",The equipped monster becomes Reptile-Type. It gains 800 ATK. If this card is destroyed and sent to the Graveyard: Target 1 face-up monster your opponent controls; it loses 800 ATK.
Reptilianne Servant," Effect Monster  Reptile  100  100",Destroy this card if there are face-up monsters on the field other than this card. Destroy this card when it is targeted by the effect of a Spell or Trap Card. Neither player can Normal Summon a monster while this card is face-up on the field.
Reptilianne Vaskii," Effect Monster  Reptile  2600","This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 2 face-up monsters with 0 ATK from anywhere on the field. Once per turn, you can select and destroy 1 face-up monster your opponent controls. There can only be 1 face-up ""Reptilianne Vaskii"" on the field."
Ritual Cage," Spell Card  Continuous","You take no battle damage from attacks involving a Ritual Monster you control. Ritual Monsters you control cannot be targeted by, or destroyed by, monster effects."
Ritual of Destruction," Spell Card  Ritual","This card is used to Ritual Summon ""Garlandolf, King of Destruction"". You must also Tribute monsters whose total Levels equal 7 or more from the field or your hand. During your Main Phase, you can remove from play this card from your Graveyard. If you do, during this turn, any monster destroyed by battle with a Ritual Monster you control will be returned to the top of the Deck instead of being sent to the Graveyard."
Rocket Pilder," Spell Card  Equip","While the equipped monster is attacking, it cannot be destroyed by battle. At the end of the Damage Step, if the equipped monster attacked: The attack target loses ATK equal to the ATK of the equipped monster, until the End Phase."
Rose Fairy," Effect Monster  Plant  600  1200",If this card is added from your Deck to your hand by a card effect: You can Special Summon this card.
Saber Hole," Trap Card  Counter","Activate only while you control a face-up ""X-Saber"" monster. Negate the Summon of a monster, and destroy it."
Serpent Suppression," Trap Card  Continuous","Face-up Attack Position monsters with 0 ATK your opponent controls cannot be destroyed by battle with ""Reptilianne"" monsters."
Shield Wing," Effect Monster  Winged Beast  900","Twice per turn, this card cannot be destroyed by battle."
Shield Worm," Effect Monster  Insect  800  2000","When this card is Summoned, it is changed to Defense Position. Then, send 1 card from the top of your opponent's Deck to the Graveyard for each face-up Insect-Type monster you control."
Shreddder," Effect Monster  Machine  1600  1000","Once per turn: You can send 1 Machine-Type monster from your hand to the Graveyard, then target 1 monster your opponent controls with a Level less than or equal to the sent monster's; destroy that target."
Skull Conductor," Effect Monster  Zombie  2000",If this card is face-up on the field at the end of the Battle Phase: Destroy this face-up card. You can send this card from your hand to the Graveyard; Special Summon up to 2 Zombie-Type monsters from your hand whose combined ATK is exactly 2000.
Spiders' Lair," Spell Card  Continuous","Once per turn, you can select 1 face-up Insect-Type monster you control. While this card remains on the field, any opponent's monster that battles with one of those monsters is changed to Defense Position at the end of the Battle Phase, and cannot change its battle position while this card is on the field."
Sun Dragon Inti," Synchro Monster  Dragon  3000  2800","""Fire Ant Ascator"" + 1+ non-Tuner monsters If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card, and if you do, inflict damage to your opponent equal to half the ATK that monster had on the field. Once per turn, during the Standby Phase of the next turn after this card on the field was destroyed: You can target 1 ""Moon Dragon Quilla"" in your GY; Special Summon that target."
Supay," Tuner Monster  Fiend  300  100","When this card is sent from the field to the GY by card effect: You can Special Summon 1 ""Oracle of the Sun"" from your Deck, and if you do, double its ATK, also return it to the hand during the End Phase of this turn."
Super-Nimble Mega Hamster," Flip Effect Monster  Beast  1100  1800",FLIP: You can Special Summon 1 Level 3 or lower Beast-Type monster from your Deck in face-down Defense Position.
Sword Master," Tuner Monster  Warrior  1200","If a Warrior-Type monster you control attacks your opponent's monster, and the opponent's monster is not destroyed by battle, at the end of the Damage Step you can Special Summon this card from your hand. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent."
Synchro Control," Spell Card  Quick-Play",Activate only if you have no Synchro Monsters on your side of the field or in your Graveyard. Pay 1000 Life Points and select 1 face-up Synchro Monster your opponent controls. Take control of the selected monster until the End Phase of your turn.
Temple of the Sun," Spell Card  Continuous",Face-up monsters you control that were Special Summoned from the Graveyard gain 300 ATK.
The Dragon Dwelling in the Deep," Effect Monster  Sea Serpent  1700  1400","Place 1 Ocean Counter on this card during each player's Standby Phase. When this card is removed from the field, all Fish-Type and Sea Serpent-Type monsters you control gain 200 ATK for each Ocean Counter on this card, until the End Phase."
Tricular," Effect Monster  Machine  300  300","When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 ""Bicular"" from your hand or Deck."
Tuner's Scheme," Trap Card  Continuous",Activate only when a Synchro Monster is Special Summoned to your opponent's side of the field. Take control of that Synchro Monster. Remove it from play when it is destroyed. Destroy this card when that monster is removed from the field.
Underground Arachnid," Synchro Monster  Insect  2400  1200","1 DARK Tuner + 1 non-Tuner Insect-Type monster If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step. Once per turn, you can select 1 face-up monster your opponent controls, and equip it to this card. If this card would be destroyed by battle, you can destroy the monster equipped to this card by its effect instead. (You can only equip 1 monster at a time to this card.)"
Unicycular," Normal Monster  Machine  100  100","The third of the brothers, following Tricular and Bicular."
Variety Comes Out," Spell Card  Normal","Return 1 face-up Synchro Monster you control to the Extra Deck to select and Special Summon a Tuner monster(s) from your Graveyard, whose total Levels equal the Level of that Synchro Monster. You cannot Synchro Summon the turn you activate this card."
Viper's Rebirth," Spell Card  Normal",Activate only if all monsters in your Graveyard are Reptile-Type. Select 1 non-Tuner monster in your Graveyard. Special Summon it. Destroy it during the End Phase.
Viser Des," Effect Monster  Fiend  500  1200","If this card is Normal Summoned: Target 1 monster your opponent controls; during your third Standby Phase after this effect's activation, destroy that monster. This card cannot be destroyed by battle while the targeted monster is on the field."
Weeping Idol," Effect Monster  Rock  500",You can remove from play 1 Tuner monster in your Graveyard to Special Summon this card from your hand.
Widespread Dud," Trap Card  Continuous","Select 2 face-up Attack Position monsters on the field. When any of the selected monsters are removed from the field, destroy this card. When this card is destroyed, destroy the selected monster(s)."
Witch of the Black Rose," Tuner Monster  Spellcaster  1700  1200","Cannot be Special Summoned. If this card is Normal Summoned, and you control no other cards: Draw 1 card and show it, then, if it is not a monster, send it to the GY, also destroy this card."
XX-Saber Emmersblade," Effect Monster  Insect  1300  800","When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Level 4 or lower ""X-Saber"" monster from your Deck."
XX-Saber Garsem," Effect Monster  Beast  1400  400","When this card on the field is destroyed and sent to the Graveyard by a card effect, add 1 ""X-Saber"" monster from your Deck to your hand. This card gains 200 ATK for each face-up ""X-Saber"" monster you control."
XX-Saber Hyunlei," Synchro Monster  Warrior  2300  1300","1 Tuner + 1 or more non-Tuner ""X-Saber"" monsters When this card is Synchro Summoned, you can select and destroy up to 3 Spell or Trap Cards on the field."
Zeman the Ape King," Synchro Monster  Beast  2500  1800","1 DARK Tuner + 1 non-Tuner Beast-Type monster If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step. When an opponent's monster declares an attack, you can select that monster and send 1 monster from your hand or your side of the field to the Graveyard to negate the attack."
Commander Covington," Effect Monster  Machine  1000  600","You can send 1 face-up ""Machina Soldier"", ""Machina Sniper"", and ""Machina Defender"" you control to the GY; Special Summon 1 ""Machina Force"" from your hand or Deck."
Machina Armored Unit," Spell Card  Continuous","Once per turn, when a Machine monster is destroyed by battle and sent to your GY: You can Special Summon 1 Machine monster from your Deck that has the same Attribute and less ATK than that destroyed monster in the GY."
Machina Defender," Flip Effect Monster  Machine  1200  1800","FLIP: Add 1 ""Commander Covington"" from your Deck to your hand."
Machina Force," Effect Monster  Machine  4600  4100","Cannot be Normal Summoned/Set. Must be Special Summoned by ""Commander Covington"". You must pay 1000 LP to declare an attack with this card. You can send this card you control to the GY, then target 1 ""Machina Soldier"", ""Machina Sniper"", and ""Machina Defender"" in your GY; Special Summon those targets."
Machina Fortress," Effect Monster  Machine  2500  1600","You can discard Machine monster(s) whose total Levels equal 8 or more, then Special Summon this card (from your hand or GY). If this card is destroyed by battle and sent to the GY: Target 1 card your opponent controls; destroy that target. Before resolving an opponent's monster effect that targets this face-up card, look at your opponent's hand and discard 1 card from their hand."
Machina Gearframe," Union Effect Monster  Machine  1800","When this card is Normal Summoned: You can add 1 ""Machina"" monster from your Deck to your hand, except ""Machina Gearframe"". Once per turn, you can either: Target 1 Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. If the equipped monster would be destroyed by battle or card effect, destroy this card instead."
Machina Peacekeeper," Union Effect Monster  Machine  500  400","When this card on the field is destroyed and sent to the GY: You can add 1 Union monster from your Deck to your hand. Once per turn, you can either: Target 1 Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. If the equipped monster would be destroyed by battle or card effect, destroy this card instead."
Machina Sniper," Effect Monster  Machine  1800  800","Monsters cannot attack ""Machina"" monsters, except ""Machina Sniper""."
Machina Soldier," Effect Monster  Machine  1600  1500","When this card is Normal Summoned while you control no other monsters: You can Special Summon 1 ""Machina"" monster from your hand, except ""Machina Soldier""."
Scrap Recycler," Effect Monster  Machine  900  1200",When this card is Normal or Special Summoned: You can send 1 Machine monster from your Deck to the GY. Once per turn: You can shuffle 2 Level 4 EARTH Machine monsters from your GY into the Deck; draw 1 card.
The Big Saturn," Effect Monster  Machine  2800  2200",Cannot be Special Summoned from the hand or Deck. Once per turn: You can discard 1 card and pay 1000 Life Points; this card gains 1000 ATK until the End Phase. When this card in your possession is destroyed by your opponent's card effect and sent to your Graveyard: Both players take damage equal to this card's ATK in the Graveyard.
Samurai Sword Baron," Effect Monster  Warrior  1600  1200","Once per turn, you can select 1 Defense Position monster your opponent controls. Change it to face-up Attack Position."
Stygian Security," Tuner Monster  Fiend  100  600",If this card is destroyed by battle and sent to the Graveyard: Special Summon 1 Level 1 Fiend-Type monster from your Deck.
Stygian Sergeants," Synchro Monster  Fiend  2200  1800","1 Fiend-Type Tuner + 1 or more non-Tuner monsters When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can have this card gain 800 ATK until the end of the Battle Phase, also this card can make a second attack in a row."
Cyber Eltanin," Effect Monster  Machine",Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing all LIGHT Machine monsters from your field and GY. This card's ATK/DEF become the number of monsters banished for its Special Summon x 500. If this card is Special Summoned: Send all other face-up monsters on the field to the GY.
Starlight Road," Trap Card  Normal","When a card or effect is activated that would destroy 2 or more cards you control: Negate the effect, and if you do, destroy that card, then you can Special Summon 1 ""Stardust Dragon"" from your Extra Deck."
Malefic Blue-Eyes White Dragon," Effect Monster  Dragon  3000  2500","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 ""Blue-Eyes White Dragon"" from your Deck. There can only be 1 ""Malefic"" monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card."
Hundred Eyes Dragon," Synchro Monster  Dragon  3000  2500","1 DARK Tuner + 1 or more non-Tuner Fiend-Type monsters Once per turn: You can banish 1 Level 6 or lower DARK Effect Monster from your Graveyard; until the End Phase, this card's name becomes that banished monster's, and replace this effect with that banished monster's original effects. If this card is destroyed and sent to the Graveyard: Add 1 ""Earthbound Immortal"" monster from your Deck to your hand."
XX-Saber Boggart Knight," Effect Monster  Beast-Warrior  1900  1000","When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower ""X-Saber"" monster from your hand. Cannot be used as a Synchro Material, except for the Synchro Summon of an ""X-Saber"" Synchro Monster."
"Akz, the Pumer"," Effect Monster  Beast-Warrior  1500  1000","This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster to activate 1 of the following effects: ● Double this card's ATK until the End Phase. ● This card can attack your opponent directly this turn."
Ally of Justice Core Destroyer," Effect Monster  Machine  1200  200","At the start of the Damage Step, if this card battles a LIGHT monster: Destroy that monster."
Archfiend Interceptor," Effect Monster  Fiend  1400  1600","While you control this face-up Attack Position card, when an opponent's monster declares an attack, inflict 500 damage to your opponent."
Assault Spirits," Trap Card  Normal","After activation, treat this card as an Equip Card, and equip it to a monster you control. Once per turn, during the equipped monster's attack, you can send 1 monster with 1000 or less ATK from your hand to the Graveyard during the Damage Step to have the equipped monster gain the ATK of the sent monster, until the End Phase."
Batteryman AAA," Effect Monster  Thunder","When this card is Normal Summoned or flipped face-up, you can Special Summon 1 ""Batteryman AAA"" from your hand or Graveyard."
Batteryman Fuel Cell," Effect Monster  Thunder  2100","If you control 2 or more face-up ""Batteryman"" monsters, you can Special Summon this card from your hand. Once per turn, you can Tribute 1 ""Batteryman"" monster, except this card, to select 1 card your opponent controls and return it to its owner's hand."
Biofalcon," Effect Monster  Machine  1700  1200","When a Machine-Type monster you control is destroyed by battle and sent to the Graveyard while this card is face-up on the field, you can add 1 Machine-Type monster with 1000 or less ATK from your Deck to your hand."
Bird of Roses," Effect Monster  Plant  1800  1500","When this face-up Attack Position card is destroyed by battle with an opponent's attacking monster and sent to the Graveyard, you can Special Summon 2 Plant-Type Tuner monsters from your Deck in face-up Defense Position."
Black Thunder," Trap Card  Normal","Activate only when a ""Blackwing"" monster you control is destroyed by battle and sent to the Graveyard. Inflict 400 damage to your opponent for each card your opponent controls."
Black-Winged Dragon," Synchro Monster  Dragon  2800  1600","1 Tuner + 1+ non-Tuner monsters If you would take damage from a card effect, place 1 Black Feather Counter on this card instead. This card loses 700 ATK for each Black Feather Counter on it. Once per turn: You can remove all Black Feather Counters on this card, then target 1 face-up monster your opponent controls; that target loses 700 ATK for each Black Feather Counter you removed, and if it does, inflict damage to your opponent equal to the ATK lost by this effect."
Black-Winged Strafe," Spell Card  Normal","Send 1 ""Blackwing"" monster from your hand to the Graveyard to select 1 Defense Position monster your opponent controls. Send that monster to the Graveyard."
Blackwing - Backlash," Trap Card  Normal","When an opponent's monster declares a direct attack while you have 5 or more ""Blackwing"" monsters in your Graveyard: Destroy all monsters your opponent controls."
Blackwing - Bombardment," Trap Card  Normal","Tribute 1 ""Blackwing"" monster to select 1 face-up Synchro Monster you control. That Synchro Monster gains ATK equal to the Tributed monster's ATK, until the End Phase."
Blackwing - Breeze the Zephyr," Tuner Monster  Winged Beast  1100  300","If this card is added from your Deck to your hand by a card effect: You can Special Summon this card from your hand. Cannot be used as a Synchro Material, except for the Synchro Summon of a ""Blackwing"" monster."
Blackwing - Ghibli the Searing Wind," Effect Monster  Winged Beast  1600","When your opponent declares a direct attack: You can Special Summon this card from your hand. Once per turn: You can switch the original ATK and DEF of this card, until the end of this turn."
Blackwing - Gust the Backblast," Effect Monster  Winged Beast  900  1400","If you control no cards, you can Special Summon this card (from your hand). If your opponent's monster attacks a ""Blackwing"" monster you control, the attacking monster loses 300 ATK during the Damage Step only."
Blossom Bombardment," Trap Card  Normal",When a Plant-Type monster you control destroys an opponent's monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to the destroyed monster's ATK in the Graveyard.
Card Breaker," Effect Monster  Warrior  100  900","This card cannot be Normal Summoned or Set. This card can only be Special Summoned, in face-up Attack Position, by sending 1 card from your Spell & Trap Card Zone to the Graveyard."
Cards for Black Feathers," Spell Card  Normal","Banish 1 ""Blackwing"" monster from your hand; draw 2 cards. You cannot Special Summon during the turn you activate this card. You can only activate 1 ""Cards for Black Feathers"" per turn."
Changer Synchron," Tuner Monster  Machine","If this card is sent to the Graveyard for a Synchro Summon, select 1 monster your opponent controls and change its battle position."
Chaos Goddess," Synchro Monster  Fairy  2500  1800","1 LIGHT Tuner + 2+ non-Tuner DARK monsters Once per turn: You can send 1 LIGHT monster from your hand to the GY, then target 1 Level 5 or higher DARK monster in your GY; Special Summon that monster, but it cannot be used as Synchro Material."
Chaos King Archfiend," Synchro Monster  Fiend  2600  2600","1 Fiend-Type Tuner + 1 or more non-Tuner monsters When this card declares an attack: You can switch the current ATK and DEF of all face-up monsters your opponent controls, until the end of the Battle Phase."
Chaos Trap Hole," Trap Card  Counter","When a LIGHT or DARK monster(s) would be Summoned: Pay 2000 LP; negate the Summon of the LIGHT and DARK monster(s), and if you do, banish it."
Cherry Inmato," Tuner Monster  Plant  700  400","When this card is destroyed by battle and sent to the Graveyard, you can Special Summon up to 2 ""Inmato"" monsters from your Deck. They cannot be used as Synchro Material Monsters this turn."
Core Overclock," Spell Card  Continuous","All face-up ""Koa'ki Meiru"" monsters you control gain 500 ATK. Once per turn, during your Main Phase, you can discard 1 ""Iron Core of Koa'ki Meiru"" to have all face-up ""Koa'ki Meiru"" monsters you control gain 1000 ATK, until the End Phase."
Corridor of Agony," Spell Card  Continuous","Monsters that were Special Summoned from the Main Deck cannot activate their effects, their effects are negated, and they cannot declare an attack, as long as they remain face-up on the field."
Crevice Into the Different Dimension," Trap Card  Normal",Declare 1 Attribute and select a total of 2 monsters with that Attribute from the Graveyards. Remove those monsters from play.
Damage Gate," Trap Card  Normal",When you take battle damage: Target 1 monster in your Graveyard with ATK less than or equal to the amount of damage you took; Special Summon that target.
Dawn of the Herald," Spell Card  Ritual","This card is used to Ritual Summon ""Herald of Perfection"". You must also Tribute monsters from your hand or field whose total Levels equal exactly 6. When ""Herald of Perfection"" is Ritual Summoned by this card's effect: You can banish this card from your Graveyard, then target 1 of the monsters in your Graveyard that was Tributed for that Ritual Summon; return that target to your hand."
